#0| 3.4 мм|335| 3.4 мм             | 72234|10|  59
#0| 3.4 мм|335| 3.4 мм полированные| 71534|10|  68
#0| 3.6 мм|335| 3.6 мм полированные| 71536|10|  70
#0| 3.8 мм|335| 3.8 мм полированные| 71538|10|  77
#0| 4.1 мм|335| 4.1 мм полированные| 71541|10|  50||blkt2
#0| 4.3 мм|335| 4.3 мм полированные| 71543|10|  85
#0| 4.4 мм|335| 4.4 мм полированные| 71544|10|  90
#0| 4.5 мм|335| 4.5 мм полированные| 71545|10|  94
#0| 4.6 мм|335| 4.6 мм полированные| 71546|10|  94
#0| 4.7 мм|335| 4.7 мм полированные| 71547|10|  99
#0| 4.8 мм|335| 4.8 мм             | 72248|10|  70
#0| 4.8 мм|335| 4.8 мм полированные| 71548|10|  99
#1|5 мм   |335|5 мм                |      | -|    ||norow mult2 next|
#0| 5.2 мм|335| 5.2 мм             | 72252|10|  77
#0| 5.5 мм|335| 5.5 мм             | 72255|10|  88
#0| 5.5 мм|335| 5.5 мм полированные| 71555|10| 122
#0| 6.2 мм|335| 6.2 мм полированные| 71562|10| 144||blkt2
#0| 6.5 мм|335| 6.5 мм полированные| 71565|10| 166
#0| 7.5 мм|335| 7.5 мм полированные| 71575|10| 244||blkt2
#0| 8.5 мм|335| 8.5 мм полированные| 71585|10| 290||blkt2
#0| 9.0 мм|335| 9.0 мм             |722905| 5|  99||blkt2
#0| 9.0 мм|335| 9.0 мм полированные| 71590|10| 344
#0| 9.5 мм|335| 9.5 мм полированные| 71595|10| 388
#0|10,0 мм|335|10,0 мм             |722955| 5| 150||blkt2
#0|10.0 мм|335|10.0 мм полированные| 71599|10| 422
#0|11.0 мм|335|11.0 мм полированные| 72010| 5| 250||blkt2
#0|11.5 мм|335|11.5 мм полированные| 72015| 5| 290
#0|12.0 мм|335|12.0 мм полированные| 72020| 5| 330||blkt2
#0|12.5 мм|335|12.5 мм полированные| 72025| 5| 360
#0|13.5 мм|335|13.5 мм полированные| 72035| 5| 450||blkt2
#0|14.5 мм|335|14.5 мм полированные| 72045| 5| 580||blkt2
#0|15.0 мм|335|15.0 мм полированные| 72050| 5| 690||blkt2
#0|15.5 мм|335|15.5 мм полированные| 72055| 5| 780
#0|18.0 мм|335|18.0 мм полированные| 72080| 5|1300||blkt2
#0|20.0 мм|335|20.0 мм полированные| 72099| 5|1650||blkt2
#
#1|1 мм|336|1 мм||-|                  |subhead mult2|Сверла по металлу|, быстрорежущая сталь, цилиндрический хвостовик|Цена с НДС за упаковку||/img/pic/drill/small/sverla po metallu.jpg|/img/pic/drill/big/sverla po metallu.jpg
##0| 0.5 мм|336| 0.5 мм|     |10| 31
##0| 0.7 мм|336| 0.7 мм|     |10| 34
##0| 0.8 мм|336| 0.8 мм|     |10| 35
##0| 0.9 мм|336| 0.9 мм|     |10| 36
##0|< 1 мм|336|< 1 мм||-|              |subhead|
#0| 1.0 мм|336| 1.0 мм|71510 |10| 22
##0| 1.5 мм|336| 1.5 мм|      |10| 24
#0|2 мм|336|2 мм||-|                  |subhead|
#0| 2.0 мм|336| 2.0 мм|71520 |10| 30
#0| 2.1 мм|336| 2.1 мм|      |10| 30
#0| 2.3 мм|336| 2.3 мм|      |10| 31
#0| 2.5 мм|336| 2.5 мм|      |10| 33
#0| 2.9 мм|336| 2.9 мм|      |10| 33
#0|3 мм|336|3 мм||-|                  |subhead|
#0| 3.1 мм|336| 3.1 мм|71532?|10| 34
#0| 3.2 мм|336| 3.2 мм|71532 |10| 35
#0| 3.3 мм|336| 3.3 мм|71533 |10| 35
#0| 3.4 мм|336| 3.4 мм|      |10| 36
#0| 3.6 мм|336| 3.6 мм|71536 |10| 37
#0| 3.8 мм|336| 3.8 мм|71538 |10| 37
#0|4 мм|336|4 мм||-|                  |subhead|
#0| 4.1 мм|336| 4.1 мм|71530 |10| 38
