 0|Бур SDS PLUS       14 &#215;&numsp;460 мм, BERGEN ПРО|47|14       &#215;&numsp;460 мм| 8114460| 430,00| 400,00|-||
 0|Бур SDS PLUS       14 &#215;&numsp;600 мм, BERGEN ПРО|47|14       &#215;&numsp;600 мм| 8114600| 570,00| 540,00|-||
 0|Бур SDS PLUS       14 &#215;&numsp;800 мм, BERGEN ПРО|47|14       &#215;&numsp;800 мм| 8114800| 895,00| 850,00|-||
 0|Бур SDS PLUS       14 &#215;1000       мм, BERGEN ПРО|47|14       &#215;1000       мм|81141000|1150,00|1110,00|-||
 0|Бур SDS PLUS       16 &#215;&numsp;160 мм, BERGEN ПРО|47|16       &#215;&numsp;160 мм| 8116160| 235,00| 225,00|-||blkt2
 0|Бур SDS PLUS       16 &#215;&numsp;210 мм, BERGEN ПРО|47|16       &#215;&numsp;210 мм| 8116210| 275,00| 260,00|-||
 0|Бур SDS PLUS       16 &#215;&numsp;260 мм, BERGEN ПРО|47|16       &#215;&numsp;260 мм| 8116260| 300,00| 280,00|-||
 0|Бур SDS PLUS       16 &#215;&numsp;310 мм, BERGEN ПРО|47|16       &#215;&numsp;310 мм| 8116310| 350,00| 310,00|-||
 0|Бур SDS PLUS       16 &#215;&numsp;350 мм, BERGEN ПРО|47|16       &#215;&numsp;350 мм| 8116350| 365,00| 330,00|-||
 0|Бур SDS PLUS       16 &#215;&numsp;460 мм, BERGEN ПРО|47|16       &#215;&numsp;460 мм| 8116460| 475,00| 445,00|-||
 0|Бур SDS PLUS       16 &#215;&numsp;600 мм, BERGEN ПРО|47|16       &#215;&numsp;600 мм| 8116600| 680,00| 645,00|-||
 0|Бур SDS PLUS       16 &#215;&numsp;800 мм, BERGEN ПРО|47|16       &#215;&numsp;800 мм| 8116800| 980,00| 950,00|-||
 0|Бур SDS PLUS       16 &#215;1000       мм, BERGEN ПРО|47|16       &#215;1000       мм|81161000|1290,00|1225,00|-||
 0|Бур SDS PLUS       18 &#215;&numsp;350 мм, BERGEN ПРО|47|18       &#215;&numsp;350 мм| 8118350| 480,00| 460,00|-||blkt2
 0|Бур SDS PLUS       18 &#215;&numsp;460 мм, BERGEN ПРО|47|18       &#215;&numsp;460 мм| 8118460| 600,00| 560,00|-||
 0|Бур SDS PLUS       18 &#215;&numsp;600 мм, BERGEN ПРО|47|18       &#215;&numsp;600 мм| 8118600| 815,00| 745,00|-||
 0|Бур SDS PLUS       18 &#215;&numsp;800 мм, BERGEN ПРО|47|18       &#215;&numsp;800 мм| 8118800|1300,00|1175,00|-||
 0|Бур SDS PLUS       18 &#215;1000       мм, BERGEN ПРО|47|18       &#215;1000       мм|81181000|1700,00|1575,00|-||
 0|Бур SDS PLUS       20 &#215;&numsp;350 мм, BERGEN ПРО|47|20       &#215;&numsp;350 мм| 8120350| 600,00| 580,00|-||blkt2
