# 504,cat504|Смазка для буров
#1|Смазка для буров|504|196804-7|209|204|198||norow|| Makita 196804-7, 100&thinsp;г (95&thinsp;мл) <span class=art>арт. 196804-7</span>|Предназначена для нанесения на хвостовик бура (долота, зубила и т.п.) перед установкой в перфоратор или отбойный молоток.</span></p><UL><LI>снижает температуру и износ деталей<LI>уменьшает попадание пыли внутрь инструмента<LI>продлевает срок службы инструмента</UL><p><span class="addt">||/img/pic/drill/small/m196804-7.jpg|/img/pic/drill/big/m196804-7.jpg
#0|Смазка для буров|504|196804-7|209|204|198||

# 357,cat357|Буры Проломные для перфоратора SDS Max BERGEN
1|Бур SDS Max 10 &#215; 400                    |357|BPR456| 5690| 5620| 5555||norow|Буры проломные для перфоратора SDS Max| BERGEN|Буры проломные используются для просверливания отверстий больших диаметров и для проделывания проемов в твердых материалах (бетон, кирпич, камень и т.п.)||/img/pic/drill/small/BUR PROLOMNOY.jpg|/img/pic/drill/big/BUR PROLOMNOY.jpg
0|Бур SDS Max BERGEN проломной 45 &#215; 600 мм|357|BPR456| 5690| 5620| 5555||
0|Бур SDS Max BERGEN проломной 45 &#215;1000 мм|357|BPR451| 6990| 6920| 6850||
0|Бур SDS Max BERGEN проломной 55 &#215; 600 мм|357|BPR556| 5990| 5920| 5860||blkt2
0|Бур SDS Max BERGEN проломной 55 &#215;1000 мм|357|BPR551| 7920| 7860| 7780||
0|Бур SDS Max BERGEN проломной 68 &#215; 400 мм|357|BPR684| 6390| 6310| 6230||blkt2
0|Бур SDS Max BERGEN проломной 68 &#215; 600 мм|357|BPR686| 7590| 7510| 7440||
0|Бур SDS Max BERGEN проломной 68 &#215; 800 мм|357|BPR688| 9390| 9310| 9240||
0|Бур SDS Max BERGEN проломной 68 &#215;1000 мм|357|BPR681|10390|10290|10120||
0|Бур SDS Max BERGEN проломной 80 &#215; 600 мм|357|BPR806| 9550| 9470| 9360|| blkt2
0|Бур SDS Max BERGEN проломной 80 &#215;1000 мм|357|BPR801|12350|12230|12120||

# [2+51+14+18+45 размер + 3ц А]
# 48,cat48|Буры BERGEN Max
 1|Бур по бетону SDS Max 10 &#215; 310 мм, BERGEN|48|10 &#215; 310 мм|BM10400 | 439,00| 425,00| 416,00||blue norow mult2|Буры по бетону для перфоратора SDS Max| BERGEN|||/img/pic/drill/small/BURY SDS MAX.jpg|/img/pic/drill/big/BURY SDS MAX.jpg
 0|Бур SDS PLUS 10       &#215;1000       мм, BERGEN  |47|10       &#215;1000       мм|+101000 | 901,95| 886,89| 880,86|
 0|Бур SDS PLUS 12       &#215;&numsp;160 мм, BERGEN  |47|12       &#215;&numsp;160 мм|B+12160 |  89,39|  85,37|  83,37||blkt2
 0|Бур SDS PLUS 12       &#215;&numsp;210 мм, BERGEN  |47|12       &#215;&numsp;210 мм|B+12210 | 108,48| 104,46| 101,44||
 0|Бур SDS PLUS 12       &#215;&numsp;260 мм, BERGEN  |47|12       &#215;&numsp;260 мм|B+12260 | 118,52| 114,50| 111,49|
 0|Бур SDS PLUS 12       &#215;&numsp;310 мм, BERGEN  |47|12       &#215;&numsp;310 мм|B+12310 | 139,61| 135,59| 132,58|
 0|Бур SDS PLUS 12       &#215;&numsp;350 мм, BERGEN  |47|12       &#215;&numsp;350 мм|B+12350 | 158,70| 155,68| 152,67|
 0|Бур SDS PLUS 12       &#215;&numsp;460 мм, BERGEN  |47|12       &#215;&numsp;460 мм|B+12460 | 209,92| 204,90| 201,88|
 0|Бур SDS PLUS 12       &#215;&numsp;600 мм, BERGEN  |47|12       &#215;&numsp;600 мм|B+12600 | 336,47| 332,46| 329,44||
 0|Бур SDS PLUS 12       &#215;1000       мм, BERGEN  |47|12       &#215;1000       мм|B+121000| 600,63| 584,56| 579,54|
 0|Бур SDS PLUS 14       &#215;&numsp;160 мм, BERGEN  |47|14       &#215;&numsp;160 мм|B+14160 | 106,47| 103,45| 100,44||blkt2
 0|Бур SDS PLUS 14       &#215;&numsp;210 мм, BERGEN  |47|14       &#215;&numsp;210 мм|B+14210 | 139,61| 135,59| 132,58|
 0|Бур SDS PLUS 14       &#215;&numsp;260 мм, BERGEN  |47|14       &#215;&numsp;260 мм|B+14260 | 158,70| 155,68| 152,67|
 0|Бур SDS PLUS 14       &#215;&numsp;310 мм, BERGEN  |47|14       &#215;&numsp;310 мм|B+14310 | 165,73| 162,71| 159,70||
 0|Бур SDS PLUS 14       &#215;&numsp;350 мм, BERGEN  |47|14       &#215;&numsp;350 мм|B+14350 | 209,92| 205,90| 201,88||
 0|Бур SDS PLUS 14       &#215;&numsp;460 мм, BERGEN  |47|14       &#215;&numsp;460 мм|B+14460 | 280,23| 273,20| 269,18||
 0|Бур SDS PLUS 14       &#215;&numsp;600 мм, BERGEN  |47|14       &#215;&numsp;600 мм|B+14600 | 336,47| 329,44| 323,42||
 0|Бур SDS PLUS 14       &#215;&numsp;800 мм, BERGEN  |47|14       &#215;&numsp;800 мм|B+14800 | 557,44| 546,39| 535,35|
 0|Бур SDS PLUS 14       &#215;1000       мм, BERGEN  |47|14       &#215;1000       мм|B+141000| 657,88| 646,83| 636,79||
 1|Бур SDS PLUS 14       &#215;&numsp;160 мм, BERGEN  |47|14       &#215;&numsp;160 мм|B+14160 | 111,00| 108,00| 104,00||mult2 next norow |
 0|Бур SDS PLUS 16       &#215;&numsp;210 мм, BERGEN  |47|16       &#215;&numsp;210 мм|B+16210 | 159,70| 155,68| 152,67|
 0|Бур SDS PLUS 16       &#215;&numsp;260 мм, BERGEN  |47|16       &#215;&numsp;260 мм|B+16260 | 179,79| 175,77| 171,75|
 0|Бур SDS PLUS 16       &#215;&numsp;310 мм, BERGEN  |47|16       &#215;&numsp;310 мм|B+16310 | 209,92| 205,90| 201,88|
