1|Лезвия для ножей 18 x 100&nbsp;мм|107||24.00|22||| MATRIX <span class=art>арт. 793315</span>|Цена за упаковку 10 шт.||/img/pic/strhoz/small/lezvia_sparta2.jpg|/img/pic/strhoz/big/jpg
1|Лезвия для ножей 25&nbsp;мм|107||122.00|118|||<span class=art> арт. 793325</span>|Цена за упаковку 10 шт.||/img/pic/strhoz/small/Lezvija 25 mm.jpg|/img/pic/strhoz/big/Lezvija 25 mm.jpg
1|Лезвия трапеция прямые 18&nbsp;мм|107||27.00|25||| MATRIX <span class=art>арт. 793555</span>|Материал изготовления - сталь твердостью 65 HRс.<br>Цена за упаковку 5 шт.||/img/pic/strhoz/small/793555.jpg|/img/pic/strhoz/big/jpg
1|Лезвия для ножей 9 x 80&nbsp;мм|107||12.00|11||| HOBBI <span class=art>арт. 19-2-301</span>|Цена за упаковку 10 шт.||/img/pic/strhoz/small/hobbi.jpg|/img/pic/strhoz/big/jpg
1|Лезвия для ножей 18 x 100&nbsp;мм|-107||22.00|19||| MATRIX <span class=art>арт. 793315</span> или HOBBI <span class=art>арт. 19-2-300</span>|Цена за упаковку 10 шт.||/img/pic/strhoz/small/Lezvija 25 mm.jpg|/img/pic/strhoz/big/Lezvija 25 mm.jpg
1|Лезвия для ножей 18&nbsp;мм|-107||22.00|-||| SPARTA <span class=art>арт. 78969</span>|Цена за упаковку 10 шт.||/img/pic/strhoz/small/lezvia_sparta2.jpg|/img/pic/strhoz/big/jpg
1|Лезвия для ножей 18&nbsp;мм&nbsp;x&nbsp;100&nbsp;мм (14 сегментов)|-107||26.00|-||| HOBBI <span class=art>арт. 19-2-401</span>|Цена за упаковку 10 шт.||/img/pic/strhoz/small/hobbi.jpg|/img/pic/strhoz/big/jpg
1|Ножницы хозяйственные|-107||169.00|-||Ножницы хозяйственные|, 280 мм<span class=artn>арт. </span>|Нержавеющая сталь, 2-компонентные рукоятки.<br>Твердость по Роквеллу 56 Hrc||/img/pic/strhoz/small/Noznicy.jpg|/img/pic/strhoz/big/Noznicy.jpg

1|Замок врезной сувальдный|112||159.00 |155||| ЗВ8-4 <span class=art>арт. 91663</span>|Обладает высокой механической прочностью. Прост и удобен в эксплуатации. Корпус и планки оцинкованы. Отпирается ключом снаружи и изнутри. Замок имеет 1-й класс секретности. В комплекте 3 ключа.||/img/pic/strhoz/small/91663.jpg|/img/pic/strhoz/big/jpg
1|Замок навесной|112||195.00 |189||| ВС-2А <span class=art>арт. ВС2А-(20)</span>|Пр-во г. Чебоксары||/img/pic/strhoz/small/zn2-26-50.jpg|/img/pic/strhoz/big/VS 2.jpg
1|Замок навесной всепогодный 40 мм|112|91822|99.00 |89||Замки навесные всепогодные| MATRIX|Удлиненная дужка.||/img/pic/strhoz/small/91822.jpg|/img/pic/strhoz/big/jpg
0|Замок навесной всепогодный 50 мм|112|91826|129.00|119
1|Замок навесной|112||179.00 |177||| 3Н2-8, 60 мм (SiB) <span class=art>арт. 91616</span>|||/img/pic/strhoz/small/91616.jpg|/img/pic/strhoz/big/jpg
1|Замок навесной|112||129.00 |125||| 3Н2-4-1, 60 мм (SiB) <span class=art>арт. 91623</span>|||/img/pic/strhoz/small/lock91623.jpg|/img/pic/strhoz/big/lock91623.jpg
1|Замок навесной|112||89.00 |85||| 3Н2-26, 50 мм <span class=art>арт. 91625</span>|||/img/pic/strhoz/small/VS 2.jpg|/img/pic/strhoz/big/VS 2.jpg
1|Замок навесной повышенной защищенности|112||315.00 |295||| 3Н2-10, 90 мм <span class=art>арт. 91603</span>|Массивный корпус замка с толстыми стенками исключает доступ к дужке и надежно защищает ее от перепиливания и взлома. В комплекте 3 ключа.||/img/pic/strhoz/small/91603.jpg|/img/pic/strhoz/big/jpg
1|Замок навесной|-112||129.00|-||| 3Н2-М1, 80 мм|||/img/pic/strhoz/small/Zamok _ 3H2-M1 80 sm _ A.jpg|/img/pic/strhoz/big/Zamok _ 3H2-M1 80 sm _ A.jpg
1|Замок навесной|-112||149.00|-||| 3Н2-26, 80 мм|||/img/pic/strhoz/small/VS 2.jpg|/img/pic/strhoz/big/VS 2.jpg

1|Степлер мебельный|188||298.00|288||| MATRIX Standard|Тип скобы: 53, 6-14 мм <span class=art>арт. 40902</span>||/img/pic/instr/small/STEPLER standart A.jpg|/img/pic/instr/big/STEPLER standart A.jpg
1|Степлер мебельный|188||369.00|355||| MATRIX Professional <span class=art>арт. 40913</span>|Изготовлен из хромированной стали, имеет функцию ускоренной загрузки скоб. Оснащен двухпозиционным контролем силы удара и глубины забивания скоб.<br>Тип скобы: 13, 53, 300; 6-14 мм||/img/pic/strhoz/small/Stepler.jpg|/img/pic/strhoz/big/Stepler.jpg
1|Степлер мебельный|188||469.00|455||| GROSS <span class=art>арт. 41003</span>|<UL><LI>Корпус из высокопрочного пластика, обрезиненная рукоятка с горизонтальной фиксацией.<LI>Регулировка усилия забивания скобы.<LI>Применяется в работах по обивке мебели, фиксации низковольтных кабелей и т.д. Профессиональное использование.<LI>Тип скобы: 13 и 53, размером 6-16 мм.<LI>Тип гвоздя: 300, размером 16 мм.</UL>||/img/pic/strhoz/small/STEPLER GROSS.jpg|/img/pic/strhoz/big/STEPLER GROSS.jpg
1|Скоба для степлера,  6 мм|188|41116|19.00|18||Скобы для степлера| MATRIX, тип 53|Цена с НДС за упаковку 1000 шт.||/img/pic/strhoz/small/Scoby.jpg|/img/pic/strhoz/big/Scoby.jpg
0|Скоба для степлера,  8 мм|188|41118|22.00|21
0|Скоба для степлера, 10 мм|188|41120|26.00|25
0|Скоба для степлера, 12 мм|188|41122|29.00|28
0|Скоба для степлера, 14 мм|188|41124|31.00|29

1|Шланг ПВХ армированный 3/4", 15&nbsp;м|103||498.00|449.00||Шланги ПВХ поливочные| <strong>усиленные,&nbsp;армированные</strong> "PALISAD"|Цена за 1 шт. с учетом НДС.||/img/pic/strhoz/small/Shlang polivochny.jpg|/img/pic/strhoz/big/Shlang polivochny.jpg
0|Шланг ПВХ армированный 3/4", 30&nbsp;м|103||699.00|679.00
0|Шланг ПВХ армированный 3/4", 50&nbsp;м|103|67475|995.00|985.00|red|||||0|

1|Карандаш малярный|231|848045|44.00|39||| SPARTA 180&nbsp;мм <span class=art>арт. 848045</span>|Имеет мягкий грифель, который оставляет четкий след. Овальная форма карандаша исключает скатывание с наклонной поверхности.<br>Цена за упаковку 12 карандашей||/img/pic/strhoz/small/KARANDASH MALIARNY.jpg|/img/pic/strhoz/big/KARANDASH MALIARNY.jpg
1|Шнур разметочный|231|848515|49.00|47||| 15&nbsp;м SPARTA <span class=art>арт. 848515</span>|Пластмассовый обрезиненный корпус.||/img/pic/strhoz/small/shnur_sparta.jpg|/img/pic/strhoz/big/shnur_sparta.jpg
1|Шнур разметочный|231|84855|149.00|139||| 30&nbsp;м <span class=art>арт. 84855</span>|Предназначен для нанесения вертикальной и горизонтальной разметки при проведении строительных и отделочных работ. Также может использоваться в качестве отвеса.<UL><LI>пластмассовый обрезиненный корпус<LI>порошок мел красный 115 г</UL>||/img/pic/strhoz/small/SHNUR RAZMETOCHNY.jpg|/img/pic/strhoz/big/SHNUR RAZMETOCHNY.jpg
1|Порошок меловой СИНИЙ|231|84860|55.00|49||| для разметочных шнуров MATRIX 115&nbsp;г <span class=art>арт. 84860</span>|||/img/pic/strhoz/small/mel_matrix.jpg|/img/pic/strhoz/big/mel_matrix.jpg

1|Гидроуровень со шкалой, 8&nbsp;мм, &nbsp;&nbsp;7&nbsp;м|108|37063|139.00|129||Гидроуровни со шкалой| "БАРС" (Россия)|<UL><LI>удлиненная колба<LI>рельефная градуировка</UL>||/img/pic/strhoz/small/Gidrouroven.jpg|/img/pic/strhoz/big/Gidrouroven.jpg
0|Гидроуровень со шкалой, 8&nbsp;мм, 10&nbsp;м|108|37064|159.00|149
0|Гидроуровень со шкалой, 8&nbsp;мм, 15&nbsp;м|108|37066|199.00|189
0|Гидроуровень со шкалой, 8&nbsp;мм, 20&nbsp;м|108|37067|215.00|205
0|Гидроуровень со шкалой, 8&nbsp;мм, 25&nbsp;м|108|37069|269.00|255
