# 32|Шпильки резьбовые оцинкованная
1| Шпильки длиной 1 метр|32|||||||subhead|Шпилька резьбовая оцинкованная| DIN 975|<abbr title="Предел прочности на растяжение: 400 МПа;&#xa;Относительный предел текучести: 0.8;&#xa;Предельная нагрузка = 400 МПа x 0.8 = 320 МПа.">Класс прочности 4.8</abbr><br><br><b>Цена за 1 шт.</b>||/img/pic/metrkr/small/SHPILKA.jpg|/img/pic/metrkr/big/SHPILKA.jpg
0|Анкерный болт с шестигранной головкой       10 &#215; &#8199;80 мм|351|AB6-108|0.0323 кг| 6,55| 6,25| 6,10||blkt2
0|Анкерный болт с шестигранной головкой       10 &#215;       100 мм|351|AB6-101|0.2050 кг| 7,95| 7,75| 7,60|

# 352|Анкер-клин
1|Анкер-клин M6 &#215; 40 мм|352|AK06040|0.0107 кг|2,65|2,50|2,40|||Анкер-клин||<br>Цена за 1 шт.||/img/pic/metrkr/small/a-klin.jpg|/img/pic/metrkr/big/jpg
0|Анкер-клин M6 &#215; 60 мм|352|AK06060|0.0161 кг|4,25|4,10|3,95

# 353|Анкер клиновой
 1|Анкер клиновой &#8199;8 &#215; &#8199;40 мм|353|AKL808|0.0163 кг|||||norow|Анкер клиновой| оцинкованный|<br>Цена за 1  шт.||/img/pic/metrkr/small/aklinov.jpg|/img/pic/metrkr/big/jpg
 0|Анкер клиновой &#8199;8 &#215; &#8199;80 мм|353|AKL808|0.0323 кг| 5,25| 7,00| 6,70|
 0|Анкер клиновой &#8199;8 &#215;       105 мм|353|AKL815|0.0323 кг| 5,45| 5,30| 5,20|
 0|Анкер клиновой &#8199;8 &#215;       120 мм|353|AKL812|0.0323 кг| 6,25| 6,10| 6,00|
 0|Анкер клиновой       10 &#215; &#8199;80 мм|353|AKL108|0.0323 кг| 7,75| 7,60| 7,45||blkt2
 0|Анкер клиновой       10 &#215; &#8199;95 мм|353|AKL195|0.0541 кг| 8,98| 8,78| 8,60|
 0|Анкер клиновой       10 &#215;       120 мм|353|AKL120|0.0882 кг| 9,98| 9,70| 9,55|
 0|Анкер клиновой       12 &#215;       100 мм|353|AKL200|0.0882 кг|13,65|13,25|12,98||blkt2
 0|Анкер клиновой       12 &#215;       115 мм|353|AKL215|0.0882 кг|16,40|16,15|15,70|
 0|Анкер клиновой       12 &#215;       120 мм|353|AKL220|0.0882 кг|16,98|16,45|16,20|
 0|Анкер клиновой       12 &#215;       135 мм|353|AKL235|0.1000 кг|16,98|16,45|16,20|
 0|Анкер клиновой       12 &#215;       150 мм|353|AKL250|0.1112 кг|16,98|16,45|16,20|
 0|Анкер клиновой       16 &#215;       140 мм|353|AKL640|0.2050 кг|29,00|28,30|27,50||blkt2
 0|Анкер клиновой       16 &#215;       160 мм|353|AKL660|0.2050 кг|33,98|32,50|31,60|
 0|Анкер клиновой       16 &#215;       180 мм|353|AKL680|0.2050 кг|35,98|34,50|33,25|
 0|Анкер клиновой       16 &#215;       200 мм|353|AKL620|0.2050 кг|44,98|43,00|41,45|
 0|Анкер клиновой       16 &#215;       220 мм|353|AKL622|0.2050 кг|44,98|43,00|41,55|

# 381|Цанга латунная
1|Цанга латунная M 6|381|ZL06|0.0163 кг| 6,75| 6,45| 6,25|||Цанга латунная||Латунный анкер (цанга латунная) представляет собой цилиндр с внутренней резьбой и четырехсегментной распорной зоной. С внешней стороны цилиндра сделаны насечки для предотвращения проворачивания цанги в отверстии. При вворачивании в латунный анкер болта или винта, происходит распор анкера в оконечной части за счет сходящейся на конус резьбы.<br><b>Цена за 1 шт.</b>||/img/pic/metrkr/small/zl2.jpg|/img/pic/metrkr/big/jpg
0|Цанга латунная M 8|381|ZL08|0.0163 кг| 9,75| 9,45| 9,15|
0|Цанга латунная M10|381|ZL10|0.0163 кг|14,85|14,25|13,95|
