# 86|Перчатки ХБ с ПВХ и латексным покрытием
#1|Перчатки Х/Б с нанесением ПВХ                      |86|3       |10,90| 9,90| 9,50|  ||| Эконом (3 нитки) <span class=art>арт. 3</span>|Перчатки общего производственного назначения.||/img/pic/defence/small/Perchatki HB s PVH.jpg|/img/pic/defence/big/Perchatki HB s PVH.jpg
 1|Сапоги рабочие ПВХ МБС КЩС, 38 см, черные, размер 42|95|203.42  | 318| 308| 298||norow|Сапоги рабочие <abbr title="материал: поливинилхлорид">ПВХ</abbr> <abbr title="маслобензостойкие">МБС</abbr>, <abbr title="стойкость к кислотной и щелочной среде">КЩС</abbr>||</span><span class="for">Сапоги рабочие мужские ПВХ предназначены для защиты ног от воды и водных загрязнений, кислот и щелочей, нефти, масел и продуктов нефтепереработки тяжелых фракций.</span></p><UL><LI>высота 38 см<LI>цвет черный</UL><p><span class="addt">||/img/pic/defence/small/S203.jpg|/img/pic/defence/big/S203.jpg
 0|Сапоги рабочие ПВХ МБС КЩС, 38 см, черные, размер 42|95|203.42  | 318| 308| 298
 0|Сапоги рабочие ПВХ МБС КЩС, 38 см, черные, размер 43|95|203.43  | 318| 308| 298
 0|Сапоги рабочие ПВХ МБС КЩС, 38 см, черные, размер 44|95|203.44  | 318| 308| 298
 0|Сапоги рабочие ПВХ МБС КЩС, 38 см, черные, размер 45|95|203.45  | 318| 308| 298
 1|Сапоги рабочие кожаные укороченные утепленные       |95|W.340.42|1298|1275|1235||norow|||</span><span class="for">Утепленные сапоги укороченного типа с металлическим подноском для эксплуатации в холодное время года</span></p><UL><LI>Обеспечивают защиту ног от механических повреждений, агрессивных жидкостей, в том числе нефтепродуктов, масел, щелочей.<LI>Голенище с регулировкой по полноте икры. <b>Материал верха – натуральная кожа.</b><LI>Задник формованный жесткий, обеспечивает правильное положение стопы в обуви.<LI>Подошва выполнена из полиуретана. Она практически не истирается даже в условиях интенсивной эксплуатации, имеет высокий протектор.<LI>Метод крепления подошвы к верху обуви – литьевой. Таким образом достигается полная герметизация швов.</UL><p><span class="addt">||/img/pic/defence/small/W340.jpg|/img/pic/defence/big/W340.jpg
 0|Сапоги рабочие кожаные укороченные утепленные, р. 42|95|W.340.42|1298|1275|1235
 0|Сапоги рабочие кожаные укороченные утепленные, р. 43|95|W.340.43|1298|1275|1235
 0|Сапоги рабочие кожаные укороченные утепленные, р. 44|95|W.340.44|1298|1275|1235
 1|Бахилы ПНД                                          |95|89551   | 145| 135| 132||norow|| 12 микрон, 2.5 г <span class=art>арт. 89551</span><br><br><b>Цена за упаковку 50 штук.</b>||/img/pic/defence/small/89551-1.jpg|/img/pic/defence/big/89551-2.jpg
 0|Бахилы ПНД, 12 микрон, 2.5 г, уп. 50 шт.            |95|89551   | 145| 135| 132
#1|Сапоги рабочие ПВХ, высота 40 см, цвет Олива, размер             |95|179.60.-|479|459|444||norow ltd|Сапоги рабочие <abbr title="материал: поливинилхлорид">ПВХ</abbr>|, высота 40 см, цвет Олива|</span></p><UL><LI>Высокое голенище из мягкого обувного поливинилхлорида с прочными стенками и усиленным задним швом имеет защитные элементы: защита голеностопного сустава, пяточной кости, защита от боковых порезов и проколов.<LI>Толщина стенок голенища уменьшается к верху сапога, начиная с 4 мм, для эластичности и легкости.<LI>Сапоги имеют толстую подошву (не менее 1,8 см) с антискользящим самоочищающимся протектором. Внешний слой подошвы – плотный износостойкий обувной ПВХ сорта «Винилан» (ПВХ с добавлением нитрильного каучука); внутренний слой &mdash; трикотажная подкладка, для комфортного ношения.<LI>Протектор подошвы с рельефным рисунком, для надежного сцепления с землей, исключает застревание мелких камней в подошве и налипание грязи.<LI>Шпора в пяточной части (рельефные полосы на заднике) позволяет легко снимать обувь без помощи рук.<LI>Температурный диапазон комфортного использования от -10°С до +30°С.</UL><p><span class="addt">||/img/pic/defence/small/SAPOGI PVX.jpg|/img/pic/defence/big/SAPOGI PVX.jpg
#0|Сапоги рабочие ПВХ, высота 40 см, цвет Олива, размер 41          |95|179.60.1|479|459|444||
#0|Сапоги рабочие ПВХ, высота 40 см, цвет Олива, размер 42          |95|179.60.2|479|459|444||
#0|Сапоги рабочие ПВХ, высота 40 см, цвет Олива, размер 43          |95|179.60.3|479|459|444||
#0|Сапоги рабочие ПВХ, высота 40 см, цвет Олива, размер 44          |95|179.60.4|479|459|444||
#0|Сапоги рабочие ПВХ, высота 40 см, цвет Олива, размер 45          |95|179.60.5|479|459|444||
#1|Сапоги рабочие ПВХ МБС КЩС "Специалист" м/п, цвет Олива,  размер 41|95|S241  |695|680|670||norow ltd|Сапоги рабочие <abbr title="материал: поливинилхлорид">ПВХ</abbr> <abbr title="маслобензостойкие">МБС</abbr>, <abbr title="стойкость к кислотной и щелочной среде">КЩС</abbr>| "Специалист" с металлическим подноском|Сапоги рабочие мужские ПВХ (резиновые) "Специалист" предназначены для защиты ног от воды, водных загрязнений, нефти, масел, кислот, щелочей и механических воздействий. Металлический подносок, расположенный в носовой части, обеспечивает защиту от удара энергией до 200 кДж. Выполнены по технологии трехкомпонентного литья. Подошва трехслойная, с  оригинальным нескользящим протектором, метод её крепления литьевой.||/img/pic/defence/small/S141.png|/img/pic/defence/big/S141.png
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист" м/п, цвет Олива,  размер 42|95|S242  |695|680|670
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист" м/п, цвет черный, размер 42|95|S242.B|695|680|670
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист" м/п, цвет Олива,  размер 43|95|S243  |695|680|670
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист" м/п, цвет Олива,  размер 44|95|S244  |695|680|670
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист" м/п, цвет Олива,  размер 45|95|S245  |695|680|670
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист" м/п, цвет черный, размер 45|95|S245.B|695|680|670
#1|Сапоги рабочие ПВХ МБС КЩС "Специалист",     цвет Олива,  размер 41|95|S141  |495|480|470||norow|Сапоги рабочие <abbr title="материал: поливинилхлорид">ПВХ</abbr> <abbr title="маслобензостойкие">МБС</abbr>, <abbr title="стойкость к кислотной и щелочной среде">КЩС</abbr>| "Специалист"|Сапоги рабочие мужские ПВХ (резиновые) "Специалист" предназначены для защиты ног от воды, водных загрязнений, нефти, масел, кислот и щелочей. Выполнены по технологии трехкомпонентного литья. Подошва трехслойная, с  оригинальным нескользящим протектором, метод её крепления литьевой.||/img/pic/defence/small/S141.png|/img/pic/defence/big/S141.png
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист",     цвет Олива,  размер 41|95|S141  |495|480|470
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист",     цвет Олива,  размер 42|95|S142  |495|480|470
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист",     цвет черный, размер 42|95|S142.B|495|480|470
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист",     цвет Олива,  размер 43|95|S143  |495|480|470
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист",     цвет Олива,  размер 44|95|S144  |495|480|470
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист",     цвет черный, размер 44|95|S144.B|495|480|470
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист",     цвет Олива,  размер 45|95|S145  |495|480|470
#0|Сапоги рабочие ПВХ МБС КЩС "Специалист",     цвет черный, размер 45|95|S145.B|495|480|470
#1|Сапоги рабочие ПВХ с манжетой, цвет Олива                          |95|SBM-  |365|350|340||norow|Сапоги рабочие <abbr title="материал: поливинилхлорид">ПВХ</abbr> с манжетой|, высота 34 см, цвет Олива|</span></p><UL><LI>Сапоги с манжетой изготовлены методом литья из высококачественного сырья.<LI>Голенище имеет толстые стенки (не менее 1,8 мм), что повышает износоустойчивость обуви. Толщина стенок сапога уменьшается от подошвы к верху сапога для снижения массы.<LI>Подошва имеет толщину не менее 1,5 см, что позволяет не чувствовать при ходьбе камни, ветки деревьев и прочие предметы. Протектор разработан с учетом достижений шинной промышленности: препятствует скольжению, налипанию грязи, застреванию мелкого мусора в рифе.<LI>Манжета препятствует попаданию внутрь сапога воды, пыли и мелкого мусора.<LI>Температурный диапазон от -10°С до +30°С.</UL><p><span class="addt">||/img/pic/defence/small/SBM1.jpg|/img/pic/defence/big/SBM2.gif
#0|Сапоги рабочие ПВХ с манжетой, цвет Олива, размер 41               |95|SBM-41|365|350|340
#0|Сапоги рабочие ПВХ с манжетой, цвет Олива, размер 42               |95|SBM-42|365|350|340
#0|Сапоги рабочие ПВХ с манжетой, цвет Олива, размер 43               |95|SBM-43|365|350|340
#0|Сапоги рабочие ПВХ с манжетой, цвет Олива, размер 44               |95|SBM-44|365|350|340
#0|Сапоги рабочие ПВХ с манжетой, цвет Олива, размер 45               |95|SBM-45|365|350|340
#1|Сапоги ПВХ          |95|SBM-      |365|350|340|||Сапоги рабочие <abbr title="материал: поливинилхлорид">ПВХ</abbr> с манжетой|, высота 35 см, цвет Олива, размеры: 42-45 <span class=art>арт. SBM-</span>|</span></p><UL><LI>Сапоги с манжетой изготовлены методом литья из высококачественного сырья.<LI>Голенище имеет толстые стенки (не менее 1,8 мм), что повышает износоустойчивость обуви. Толщина стенок сапога уменьшается от подошвы к верху сапога для снижения массы.<LI>Подошва имеет толщину не менее 1,5 см, что позволяет не чувствовать при ходьбе камни, ветки деревьев и прочие предметы. Протектор разработан с учетом достижений шинной промышленности: препятствует скольжению, налипанию грязи, застреванию мелкого мусора в рифе.<LI>Манжета препятствует попаданию внутрь сапога воды, пыли и мелкого мусора.<LI>Температурный диапазон от -10°С до +30°С.</UL><p><span class="addt">||/img/pic/defence/small/SBM1.jpg|/img/pic/defence/big/SBM2.gif
#1|Сапоги ПВХ          |95|SPOL-41-45|425|405|390|||Сапоги <abbr title="материал: поливинилхлорид">ПВХ</abbr> рабочие| «ОМИКА», цвет Олива, размеры: 41-45 <span class=art>арт. SPOL-</span>|</span></p><UL><LI>Высокое голенище (40 см), защита от боковых порезов и проколов.<LI>Используется в строительстве, аграрном секторе, нефтяной промышленности.<LI>Внешний слой подошвы – плотный износостойкий обувной ПВХ сорта «Винилан» (ПВХ с добавлением нитрильного каучука).<LI>Протектор подошвы с рельефным рисунком, для надежного сцепления с землей, исключает застревание мелких камней в подошве и налипание грязи.</UL><p><span class="addt">||/img/pic/defence/small/SAPOGI PVX.jpg|/img/pic/defence/big/SAPOGI PVX.jpg
#1|Сапоги ПВХ          |95|41-45-SRM |790|750|720||ltd|Сапоги <abbr title="материал: поливинилхлорид">ПВХ</abbr> рабочие| с металлическим подноском, цвет оливковый, размеры: 41, 43, 44 <span class=art>арт. -SRM</span>|</span></p><UL><LI>Сапоги выполнены в соответствии с ТУ 2590-002-41598788-2009, сертифицированы и соответствуют санитарно-эпидемиологическим нормам.<LI>Модель изготовлена методом трехкомпонентного литья, основанном на получении дополнительного промежуточного слоя подошвы из вспененного ПВХ, придающего обуви высокие амортизирующие, теплозащитные и антистатические свойства.<LI>Ударопрочный металлический подносок защищает носочную часть стопы от механических воздействий до 200 Дж.<LI>Высокое голенище (38 см). Высокая, плотная, износостойкая подошва защищает ногу от неровностей грунта, от проколов, а также от воздействия масел, нефтепродуктов и других агрессивных сред. Рифление подошвы уменьшает опасность скольжения по мокрым, жирным и обледенелым поверхностям.</UL><p><span class="addt">||/img/pic/defence/small/sapogi_mp.jpg|/img/pic/defence/big/sapogi_mp.jpg
#1|Ботинки рабочие     |95|SHW42-45  |990|940|890||ltd|| ЗИМА, размеры: 42-45 <span class=art>арт. SHW-</span>|</span></p><UL><LI>кожа, мех<LI>маслобензостойкая подошва<LI>металлический подносок</UL><p><span class="addt">||/img/pic/defence/small/IMG_9538.jpg|/img/pic/defence/big/IMG_9538.jpg
#1|Сапоги ЭВА зимние |95|SM-4041-4647|980|950|950||||Сапоги <abbr title="Новый материал с низкой теплопроводностью">ЭВА</abbr> зимние| «Snowman», утепленные, с манжетами <span class=art>арт. SM-4041, -4243, -4445, -4647</span>|</span></p><UL><LI>Сапоги Snowman имеют многослойный утепляющий вкладыш, который можно легко вынимать из сапог для просушки или замены на сухой. Вкладыш состоит из нескольких слоев:<LI class=inner></span></p><UL><LI>регенерированный мех (натуральная шерсть на трикотажной основе) предназначен для удержания тепла от ног внутри сапога;<LI>слой иглопробивного полотна (НТП) с высоким содержанием натуральных волокон льна предназначен для вывода влаги из утепляющего вкладыша;<LI>слой иглопробивного полотна большей плотности и жесткости служит для придания устойчивой формы утеплителю, а также для повышения износостойкости утеплителя;<LI>металлизированная фольгообразная пленка создаёт эффект термоса, то есть сохраняет тепло внутри сапога. В фольгированной пленке присутствуют микроотверстия для вывода влаги и испарений наружу утепляющего сапожка;<LI>синтетическая сетка, которая предназначена для защиты металлизированной фальгированной пленки от повреждений и является наружным защитным слоем утепляющего сапожка, увеличивая износостойкость и долговечность утеплителя.</UL><LI>Температура эксплуатации зимних сапог из ЭВА Snowman до -50&deg;С<LI>Вес одной пары зимних сапог из ЭВА Snowman - менее 900 грамм.</UL><p><span class="addt">||/img/pic/defence/small/s_eva.jpg|/img/pic/defence/big/s_eva.jpg
#1|Сапоги ПВХ          |95|SPOL-41-45|520|480|450|||Сапоги <abbr title="материал: поливинилхлорид">ПВХ</abbr>, <abbr title="маслобензостойкие">МБС</abbr>, <abbr title="стойкость к кислотной и щелочной среде">КЩС</abbr> рабочие| «ОМИКА», цвет Олива, размеры: 41-45 <span class=art>арт. SPOL-</span>|</span></p><UL><LI>Высокое голенище (38 см), защита от боковых порезов и проколов.<LI>Используется в строительстве, аграрном секторе, нефтяной промышленности.<LI>Внешний слой подошвы МБС КЩС – плотный износостойкий обувной ПВХ сорта «Винилан» (ПВХ с добавлением нитрильного каучука), для стойкости к агрессивным средам (маслам, нефтепродуктам, кислотам, щелочам).<LI>Протектор подошвы с рельефным рисунком, для надежного сцепления с землей, исключает застревание мелких камней в подошве и налипание грязи.</UL><p><span class="addt">||/img/pic/defence/small/SAPOGI PVX.jpg|/img/pic/defence/big/SAPOGI PVX.jpg
