## 14,cat14|Гвозди строительные 51+41+14+18 К-во в 1 кг + 3ц A Е
#1|Гвоздь строительный&numsp; 40 х 2.0 мм, ГОСТ 4028-80|14|5|кг|         |    | 77,00| 69.00|89,00||norow|Гвозди строительные| ГОСТ 4028-80|Отпускаются упаковками 5 и 25 кг.<br>Количества гвоздей в 1 кг указаны справочно и в пределах предусмотренных стандартами допусков могут отличаться от приведённых в таблице до 10% в любую сторону.<br><b>Цена за 1 кг. Цена не окончательна. При больших объемах она может быть существенно снижена.</b>||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
 1|Гвоздь строительный&numsp; 40 х 2.0 мм, ГОСТ 4028-80|14|5|кг|         |    | 77,00| 69.00|89,00||norow|Гвозди строительные| ГОСТ 4028-80|Отпускаются упаковками 5 и 25 кг.<br>Количества гвоздей в 1 кг указаны справочно и в пределах предусмотренных стандартами допусков могут отличаться от приведённых в таблице до 10% в любую сторону.<br><b>Цена за 1 кг. Цена не окончательна. При больших объемах она может быть существенно снижена.</b>||/img/pic/krep/small/gvozdi_stroitelnye.jpg|/img/pic/krep/big/gvozdi_stroitelnye.jpg
#1|Гвоздь шиферный оцинкованный 5.0 х 120 мм; уп. 15 кг, 20 кг|15||080|-|-|-||Гвозди шиферные| оцинкованные|Цена за 1 кг.||/img/pic/krep/small/shif.jpg|/img/pic/krep/big/jpg
#0|Гвоздь шиферный оцинкованный 5.0 х 150 мм; уп. 15 кг, 20 кг|15||065|-|-|-|
#1|Гвоздь финишный оцинкованный 1.6 х 30 мм; уп. 5 кг         |15||   |-|-|-||Гвозди финишные| оцинкованные|Цена за 1 кг.||/img/pic/krep/small/finish.jpg|/img/pic/krep/big/jpg
#0|Гвоздь финишный оцинкованный 1.8 х 40 мм; уп. 5 кг         |15||   |-|-|-|
#0|Гвоздь финишный оцинкованный 2.0 х 50 мм; уп. 5 кг         |15||   |-|-|-|
#0|Гвоздь финишный оцинкованный 2.0 х 60 мм; уп. 5 кг         |15||   |-|-|-|
#1|Гвоздь ершеный оцинкованный 2.5 х 50 мм; уп. 5 кг          |15||480|-|-|-||Гвозди ершеные| оцинкованные|Цена за 1 кг.||/img/pic/krep/small/ersh2.jpg|/img/pic/krep/big/jpg
#0|Гвоздь ершеный оцинкованный 2.8 х 60 мм; уп. 5 кг          |15||320|-|-|-|
#0|Гвоздь ершеный оцинкованный 3.1 х 70 мм; уп. 5 кг          |15||230|-|-|-|
#0|Гвоздь ершеный оцинкованный 3.1 х 80 мм; уп. 5 кг          |15||200|-|-|-|
#0|Гвоздь ершеный оцинкованный 3.4 х 90 мм; уп. 5 кг          |15||150|-|-|-|
#1|Гвоздь винтовой оцинкованный 3.4 х 70 мм; уп. 5 кг         |15||200|-|-|-||Гвозди винтовые| оцинкованные|Цена за 1 кг.||/img/pic/krep/small/vint1.jpg|/img/pic/krep/big/jpg
#0|Гвоздь винтовой оцинкованный 3.4 х 90 мм; уп. 5 кг         |15||160|-|-|-|

# 3,cat3|Дюбель-гвозди
1|Дюбель-гвоздь оцинкованный 3.7 х 30 мм|3|180|256,37|249,31|243,43|||Дюбель-гвозди оцинкованные для монтажного пистолета|</span><span class="for">Для крепления к бетонным, кирпичным поверхностям|Упаковка 10, 20 и 25 кг.<br><br><b>Цена  за 1 кг.</b>||/img/pic/krep/small/Dubel gv dla pistoleta.jpg|/img/pic/krep/big/Dubel gv dla pistoleta.jpg
0|Дюбель-гвоздь оцинкованный 4.5 х 30 мм|3|180|256,37|249,31|243,43
0|Дюбель-гвоздь оцинкованный 4.5 х 40 мм|3|150|256,37|249,31|243,43
0|Дюбель-гвоздь оцинкованный 4.5 х 50 мм|3|125|256,37|249,31|243,43
0|Дюбель-гвоздь оцинкованный 4.5 х 60 мм|3|110|256,37|249,31|243,43

#1|Дюбель-гвоздь оцинкованный 3.7 х 30 мм; уп.        25 кг       |3|DG3730-|180|139|129| |Дюбель-гвозди оцинкованные для монтажного пистолета|. Для крепления к бетонным, кирпичным повер х ностям|Цена  за 1 кг.||/img/pic/krep/small/Dubel gv dla pistoleta.jpg|/img/pic/krep/big/Dubel gv dla pistoleta.jpg
#0|Дюбель-гвоздь оцинкованный 4.5 х 30 мм; уп. 10 кг, 25 кг       |3|DG4530-|180|139|129
#0|Дюбель-гвоздь оцинкованный 4.5 х 40 мм; уп. 10 кг, 20 кг, 25 кг|3|DG4540-|150|129|122
#0|Дюбель-гвоздь оцинкованный 4.5 х 50 мм; уп. 10 кг, 20 кг, 25 кг|3|DG4550-|125|129|122
#0|Дюбель-гвоздь оцинкованный 4.5 х 60 мм; уп. 10 кг, 20 кг, 25 кг|3|DG4560-|110|129|122

