# 444,cat444|Саморезы кровельные
#0|Саморез с наконечником сверло 4.2 х 64 мм        |19|||SS.64    |4.26 кг|  -|  -|-
#0|Саморез с наконечником сверло 4.2 х 75 мм        |19|||PS.S.075 |5.28 кг|325|245|-
#1|Саморез с полуцилиндрической головкой Phillips №2|19|||OO.5     |-      |  -|  -|-||norow|| ("Клоп"), наконечник - сверло или острие|<br>Цена за <b>1000 шт</b>.||/img/pic/krep/small/bug.jpg|/img/pic/krep/big/jpg
#0|Саморез 3.5 х 11 мм, острие, оксидированный      |19|||OO.5     |-      |  -|  -|-
#0|Саморез 3.5 х 11 мм, острие, оцинкованный        |19|||OZ.5     |-      |  -|  -|-|
#0|Саморез 3.9 х 11 мм, острие, оксидированный      |19|||OO.9     |-      |  -|  -|-||blkt2
#0|Саморез 3.5 х 11 мм, сверло, оксидированный      |19|||SO.5     |-      |  -|  -|-||blkt
#0|Саморез 3.5 х 11 мм, сверло, оцинкованный        |19|||SZ.5     |-      |  -|  -|-|
#0|Саморез 3.9 х 11 мм, сверло, оксидированный      |19|||SO.9     |-      |  -|  -|-||blkt2
#0|Саморез 3.9 х 11 мм, сверло, оцинкованный        |19|||SZ.9     |-      |  -|  -|-|

